"","ST_NAME","DIST_NAME","AC_NAME1"
"1","NAGALAND","MON","TIZIT"
"2","NAGALAND","MON","TAPI"
"3","NAGALAND","MON","WAKCHING"
"4","NAGALAND","TUENSANG","TAMLU"
"5","NAGALAND","MOKOKCHUNG","TULI"
"6","NAGALAND","MON","PHOMCHING"
"7","NAGALAND","MON","MON TOWN"
"8","NAGALAND","MON","ABOI"
"9","NAGALAND","MOKOKCHUNG","ALUNGTAKI"
"10","NAGALAND","MON","TEHOK"
"11","NAGALAND","TUENSANG","LONGLENG"
"12","NAGALAND","MOKOKCHUNG","ARKAKONG"
"13","NAGALAND","MOKOKCHUNG","JANGPETKONG"
"14","NAGALAND","MON","MOKA"
"15","NAGALAND","WOKHA","BHANDARI"
"16","NAGALAND","TUENSANG","NOKSEN"
"17","NAGALAND","TUENSANG","TOBU"
"18","NAGALAND","MOKOKCHUNG","ANGETYONGPANG"
"19","NAGALAND","MOKOKCHUNG","IMPUR"
"20","NAGALAND","TUENSANG","NOKLAK"
"21","NAGALAND","MOKOKCHUNG","KORIDANG"
"22","NAGALAND","TUENSANG","LONGKHIM CHARE"
"23","NAGALAND","TUENSANG","TUENSANG SADAR-II"
"24","NAGALAND","MOKOKCHUNG","MONGUYA"
"25","NAGALAND","MOKOKCHUNG","MOKOKCHUNG TOWN"
"26","NAGALAND","MOKOKCHUNG","AONGLENDEN"
"27","NAGALAND","TUENSANG","TUENSANG SADAR-I"
"28","NAGALAND","WOKHA","SANIS"
"29","NAGALAND","ZUNHEBOTO","AKULUTO"
"30","NAGALAND","ZUNHEBOTO","SURUHUTO"
"31","NAGALAND","WOKHA","TYUI"
"32","NAGALAND","TUENSANG","THONOKNYU"
"33","NAGALAND","ZUNHEBOTO","ATOIZU"
"34","NAGALAND","TUENSANG","SHAMTORR-CHESSORE"
"35","NAGALAND","ZUNHEBOTO","AGHUNATO"
"36","NAGALAND","ZUNHEBOTO","ZUNHEBOTO"
"37","NAGALAND","WOKHA","WOKHA"
"38","NAGALAND","ZUNHEBOTO","SATAKHA"
"39","NAGALAND","TUENSANG","SIYUCHONG-SITIMI"
"40","NAGALAND","TUENSANG","PUNGRO-KIPHIRE"
"41","NAGALAND","KOHIMA","PUGHOBOTO"
"42","NAGALAND","KOHIMA","TSEMINYU"
"43","NAGALAND","PHEK","PHEK"
"44","NAGALAND","DIMAPUR *","DIMAPUR-I"
"45","NAGALAND","KOHIMA","NORTHERN ANGAMI -II"
"46","NAGALAND","DIMAPUR *","DIMAPUR-II"
"47","NAGALAND","DIMAPUR *","GHASPANI-I"
"48","NAGALAND","DIMAPUR *","DIMAPUR-III"
"49","NAGALAND","DIMAPUR *","GHASPANI-II"
"50","NAGALAND","PHEK","MELURI"
"51","NAGALAND","PHEK","CHAZOUBA"
"52","NAGALAND","KOHIMA","WESTERN ANGAMI"
"53","NAGALAND","PHEK","CHIZAMI"
"54","NAGALAND","KOHIMA","NORTHERN ANGAMI - I"
"55","NAGALAND","KOHIMA","KOHIMA TOWN"
"56","NAGALAND","KOHIMA","PEREN"
"57","NAGALAND","KOHIMA","SOUTHERN ANGAMI-I"
"58","NAGALAND","KOHIMA","SOUTHERN ANGAMI-II"
"59","NAGALAND","KOHIMA","TENNING"
"60","NAGALAND","PHEK","PFUTSERO"
"61","ASSAM","TINSUKIA","SADIYA"
"62","ASSAM","DHEMAJI","JONAI"
"63","ASSAM","TINSUKIA","CHABUA"
"64","ASSAM","DIBRUGARH","DIBRUGARH"
"65","ASSAM","TINSUKIA","MARGHERITA"
"66","ASSAM","DIBRUGARH","CHABUA"
"67","ASSAM","TINSUKIA","DOOM DOOMA"
